"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
31-lucerne-crescent-alphington-vic-3078,1410000,29-Feb-2020,3,2,2,-1,None,House,https://www.domain.com.au/31-lucerne-crescent-alphington-vic-3078-2016042005,,0.3-2.7-4.7,3,Feb/2020/1410000.0/SOLD
26-grange-road-alphington-vic-3078,1725000,28-Nov-2019,3,1,2,809,m2,House,https://www.domain.com.au/26-grange-road-alphington-vic-3078-2015849038,,0.5-2.6-3.8,3,Nov/2019/1725000.0/SOLD
153-fulham-road-alphington-vic-3078,1460000,16-Nov-2019,3,2,2,-1,None,House,https://www.domain.com.au/153-fulham-road-alphington-vic-3078-2015803159,,1.1-1.6-3.6,3,Nov/2019/1460000.0/SOLD-Nov/1994/170000.0/SOLD-Jun/1987/105000.0/SOLD
2/1-tower-avenue-alphington-vic-3078,1400000,22-Oct-2019,3,2,2,-1,None,House,https://www.domain.com.au/2-1-tower-avenue-alphington-vic-3078-2015716034,,0.7-3-3.8,3,
76-wingrove-street-alphington-vic-3078,1466000,12-Oct-2019,3,1,1,758,m2,House,https://www.domain.com.au/76-wingrove-street-alphington-vic-3078-2015655521,,0.6-2.5-4.1,3,Oct/2019/1466000.0/SOLD-Feb/1986/77500.0/SOLD-Dec/1977/31500.0/SOLD
13-st-bernards-road-alphington-vic-3078,1435000,31-Aug-2019,3,1,-1,354,m2,House,https://www.domain.com.au/13-st-bernards-road-alphington-vic-3078-2015508692,,0.2-2.7-4.7,3,Aug/2019/1435000.0/SOLD-Oct/2012/1000000.0/SOLD
26-ross-street-alphington-vic-3078,1450000,21-Aug-2019,3,1,2,589,m2,House,https://www.domain.com.au/26-ross-street-alphington-vic-3078-2015474124,,1.1-1.6-3.8,3,Aug/2019/1450000.0/SOLD
69-lucerne-crescent-alphington-vic-3078,1550000,08-May-2019,3,1,2,-1,None,House,https://www.domain.com.au/69-lucerne-crescent-alphington-vic-3078-2014744519,,0.3-2.6-4.8,3,May/2019/1550000.0/SOLD-Aug/2016/1480000.0/SOLD
1/56-grange-road-alphington-vic-3078,830000,30-Apr-2019,3,2,2,273,m2,Villa,https://www.domain.com.au/1-56-grange-road-alphington-vic-3078-2015005198,Broadband internet access-Built in wardrobes-Garden / Courtyard-Dishwasher-Heating-Floorboards-Fully fenced-Air conditioning-Ensuite,0.5-2.3-3.7,3,
1/124-grange-road-alphington-vic-3078,854000,10-Nov-2018,3,1,1,-1,None,House,https://www.domain.com.au/1-124-grange-road-alphington-vic-3078-2014679819,,0.8-1.8-3.6,3,
31-austin-street-alphington-vic-3078,1150000,27-Oct-2018,3,2,2,-1,None,House,https://www.domain.com.au/31-austin-street-alphington-vic-3078-2014683587,,0.4-2.8-3.5,3,Oct/2018/1150000.0/SOLD-Jun/2011/750.0/SOLD
15-naroon-road-alphington-vic-3078,1912000,20-Oct-2018,3,2,2,-1,None,House,https://www.domain.com.au/15-naroon-road-alphington-vic-3078-2014642841,,0.7-2.4-3.9,3,Oct/2018/1912000.0/SOLD-Feb/2003/620000.0/SOLD-Dec/1987/110000.0/SOLD
40-view-street-alphington-vic-3078,1900000,15-Sep-2018,3,2,3,-1,None,House,https://www.domain.com.au/40-view-street-alphington-vic-3078-2014586440,,0.1-2.9-4.4,3,Jul/2020/2120000.0/SOLD
9-perry-street-alphington-vic-3078,1218000,30-Jun-2018,3,2,2,-1,None,House,https://www.domain.com.au/9-perry-street-alphington-vic-3078-2014406770,,0.6-2.9-3.7,3,Jun/2018/1218000.0/SOLD-Mar/2015/945000.0/SOLD
46b-smith-street-alphington-vic-3078,925000,07-Apr-2018,3,1,1,-1,None,House,https://www.domain.com.au/46b-smith-street-alphington-vic-3078-2014240896,,1.1-1.6-3.7,3,Apr/2018/925000.0/SOLD
100-yarralea-street-alphington-vic-3078,1570000,05-Apr-2018,3,2,2,-1,None,House,https://www.domain.com.au/100-yarralea-street-alphington-vic-3078-2014194593,,0.6-2.5-4.3,3,Apr/2018/970.0/SOLD-Apr/2012/1570000.0/SOLD
21-shiers-street-alphington-vic-3078,1720000,17-Mar-2018,3,1,2,-1,None,House,https://www.domain.com.au/21-shiers-street-alphington-vic-3078-2014195024,,1-1.9-3.9,3,
24-ross-street-alphington-vic-3078,1560000,15-Oct-2017,3,1,2,-1,None,House,https://www.domain.com.au/24-ross-street-alphington-vic-3078-2013861854,,1.1-1.7-3.7,3,Oct/2017/1560000.0/SOLD
15-bank-street-alphington-vic-3078,1520000,21-Sep-2017,3,2,2,-1,None,House,https://www.domain.com.au/15-bank-street-alphington-vic-3078-2013823026,,0.5-2.6-4.4,3,
77a-fulham-road-alphington-vic-3078,1170000,09-Sep-2017,3,1,1,-1,None,House,https://www.domain.com.au/77a-fulham-road-alphington-vic-3078-2013791896,,0.6-2.1-3.7,3,Sep/2017/1170000.0/SOLD-Sep/1996/180000.0/SOLD
38-grange-road-alphington-vic-3078,1700000,19-Aug-2017,3,1,2,-1,None,House,https://www.domain.com.au/38-grange-road-alphington-vic-3078-2013616491,,0.4-2.4-3.7,3,Aug/2017/700.0/SOLD
108-grange-road-alphington-vic-3078,1180000,05-Aug-2017,3,1,1,405,m2,House,https://www.domain.com.au/108-grange-road-alphington-vic-3078-2013716652,,0.7-1.9-3.6,3,Aug/2017/1180000.0/SOLD-May/2014/590000.0/SOLD-May/1981/36000.0/SOLD
2-perry-street-alphington-vic-3078,1150000,29-Jul-2017,3,2,2,-1,None,House,https://www.domain.com.au/2-perry-street-alphington-vic-3078-2013660148,,0.6-2.9-3.8,3,Nov/2012/450000.0/SOLD-Nov/2010/440000.0/SOLD-Jan/1992/140000.0/SOLD
23-yarralea-street-alphington-vic-3078,1810000,29-Apr-2017,3,1,2,691,m2,House,https://www.domain.com.au/23-yarralea-street-alphington-vic-3078-2013496081,,0.1-2.9-4.5,3,
15-bank-street-alphington-vic-3078,1540000,08-Apr-2017,3,2,2,250,m2,House,https://www.domain.com.au/15-bank-street-alphington-vic-3078-2013462209,,0.6-2.6-4.4,3,
30-hanslope-avenue-alphington-vic-3078,1490000,25-Mar-2017,3,1,2,-1,None,House,https://www.domain.com.au/30-hanslope-avenue-alphington-vic-3078-2013429267,,0.3-2.6-3.6,3,Mar/2017/1490000.0/SOLD
136a-fulham-road-alphington-vic-3078,1492000,04-Mar-2017,3,2,2,411,m2,House,https://www.domain.com.au/136a-fulham-road-alphington-vic-3078-2013378140,,1-1.7-3.7,3,Mar/2017/900.0/SOLD-Aug/2003/1492000.0/SOLD
641-heidelberg-road-alphington-vic-3078,1065000,23-Dec-2016,3,1,2,750,m2,House,https://www.domain.com.au/641-heidelberg-road-alphington-vic-3078-2013221880,,0.5-2.8-4,3,Jan/2017/550.0/SOLD-Jul/1997/1065000.0/SOLD
5-rex-avenue-alphington-vic-3078,1735000,26-Nov-2016,3,1,2,-1,None,House,https://www.domain.com.au/5-rex-avenue-alphington-vic-3078-2013176033,,0.7-3.2-4.1,3,
5/6-yarralea-street-alphington-vic-3078,1110000,03-Sep-2016,3,2,2,-1,None,House,https://www.domain.com.au/5-6-yarralea-street-alphington-vic-3078-2012980611,,0.2-2.9-4.5,3,
69-lucerne-crescent-alphington-vic-3078,1480000,13-Aug-2016,3,1,2,-1,None,House,https://www.domain.com.au/69-lucerne-crescent-alphington-vic-3078-2012938339,,0.3-2.6-4.8,3,May/2019/1550000.0/SOLD-Aug/2016/1480000.0/SOLD
32-yarraford-avenue-alphington-vic-3078,1677500,13-Aug-2016,3,1,2,-1,None,House,https://www.domain.com.au/32-yarraford-avenue-alphington-vic-3078-2012715711,,0.7-3.1-3.8,3,Aug/2016/780.0/SOLD
32/23-coate-avenue-alphington-vic-3078,650000,25-Jul-2016,3,1,1,-1,None,Villa,https://www.domain.com.au/32-23-coate-avenue-alphington-vic-3078-2012823532,Built in wardrobes-Dishwasher-Courtyard-Gas Heating-Split System Air Conditioning,0.6-3-4,3,
13a-fulham-road-alphington-vic-3078,1310000,23-Jul-2016,3,2,2,-1,None,House,https://www.domain.com.au/13a-fulham-road-alphington-vic-3078-2012899024,,0.6-2.7-3.8,3,Jul/2016/1310000.0/SOLD-Jul/2015/1200000.0/SOLD
22-lowther-street-alphington-vic-3078,1165000,25-Jun-2016,3,1,-1,-1,None,House,https://www.domain.com.au/22-lowther-street-alphington-vic-3078-2012842449,,0.5-2.5-4.1,3,Aug/2016/1165000.0/SOLD-Feb/2015/866500.0/SOLD
4-tuckett-street-alphington-vic-3078,1970000,07-May-2016,3,1,3,899,m2,House,https://www.domain.com.au/4-tuckett-street-alphington-vic-3078-2012727388,,0.5-2.8-3.7,3,May/2016/1970000.0/SOLD
9/7-coate-avenue-alphington-vic-3078,780000,04-May-2016,3,2,2,-1,None,House,https://www.domain.com.au/9-7-coate-avenue-alphington-vic-3078-2012763260,,0.7-3.2-4,3,
2c-hamilton-street-alphington-vic-3078,865000,03-May-2016,3,1,1,-1,None,House,https://www.domain.com.au/2c-hamilton-street-alphington-vic-3078-2012762639,,0.4-2.6-3.7,3,May/2016/865000.0/SOLD-Sep/2009/645000.0/SOLD
45-keith-street-alphington-vic-3078,1500000,30-Apr-2016,3,1,1,594,m2,House,https://www.domain.com.au/45-keith-street-alphington-vic-3078-2012707574,,1.1-1.7-3.8,3,Apr/2016/1500000.0/SOLD
44-naroon-road-alphington-vic-3078,1540000,16-Apr-2016,3,1,2,600,m2,House,https://www.domain.com.au/44-naroon-road-alphington-vic-3078-2012672449,,0.8-2.1-3.9,3,Apr/2016/695.0/SOLD-Apr/2013/1540000.0/SOLD
13-parklands-avenue-alphington-vic-3078,1250000,09-Apr-2016,3,2,2,-1,None,House,https://www.domain.com.au/13-parklands-avenue-alphington-vic-3078-2012670367,,0.9-2.1-3.9,3,Apr/2016/1250000.0/SOLD
6-alphington-street-alphington-vic-3078,1700000,05-Mar-2016,3,1,3,-1,None,House,https://www.domain.com.au/6-alphington-street-alphington-vic-3078-2012572693,,0.9-2.9-3.8,3,Mar/2016/1700000.0/SOLD
6-rex-avenue-alphington-vic-3078,1246000,20-Feb-2016,3,2,2,296,m2,House,https://www.domain.com.au/6-rex-avenue-alphington-vic-3078-2012550839,,0.7-3.2-4,3,Feb/2016/1246000.0/SOLD-Jul/2009/760000.0/SOLD-Aug/2004/597000.0/SOLD
1-killop-street-alphington-vic-3078,1010000,12-Dec-2015,3,3,2,200,m2,House,https://www.domain.com.au/1-killop-street-alphington-vic-3078-2012426351,,0.2-2.9-4.4,3,
60-lucerne-crescent-alphington-vic-3078,2400000,14-Nov-2015,3,2,3,1629,m2,House,https://www.domain.com.au/60-lucerne-crescent-alphington-vic-3078-2012344595,,0.4-2.5-4.8,3,Nov/2015/2400000.0/SOLD
25-como-street-alphington-vic-3078,1300000,24-Sep-2015,3,1,2,564,m2,House,https://www.domain.com.au/25-como-street-alphington-vic-3078-2012182359,,0.2-2.8-4.6,3,Sep/2015/575.0/SOLD
10-como-street-alphington-vic-3078,1560000,15-Sep-2015,3,1,3,844,m2,House,https://www.domain.com.au/10-como-street-alphington-vic-3078-2012186369,,0.3-2.9-4.5,3,Nov/2017/2720000.0/SOLD-Sep/2015/1560000.0/SOLD
18-yarralea-street-alphington-vic-3078,1627000,04-Jul-2015,3,1,1,801,m2,House,https://www.domain.com.au/18-yarralea-street-alphington-vic-3078-2012034430,Alarm System-Outdoor Entertaining-Gas Heating-Dishwasher-Study,0.1-2.8-4.5,3,Jul/2015/1627000.0/SOLD
6/103-lucerne-crescent-alphington-vic-3078,1390000,25-Apr-2015,3,2,2,-1,None,House,https://www.domain.com.au/6-103-lucerne-crescent-alphington-vic-3078-2011928394,Study,0.5-2.8-4.6,3,
48-fulham-road-alphington-vic-3078,1125000,18-Apr-2015,3,1,-1,-1,None,House,https://www.domain.com.au/48-fulham-road-alphington-vic-3078-2011849284,,0.6-2.4-3.8,3,Apr/2015/1125000.0/SOLD-Oct/2012/775000.0/SOLD-Mar/1979/32000.0/SOLD
38-smith-street-alphington-vic-3078,1030000,28-Mar-2015,3,1,2,-1,None,House,https://www.domain.com.au/38-smith-street-alphington-vic-3078-2011814927,,1.1-1.6-3.7,3,Mar/2015/1030000.0/SOLD-Apr/1977/38500.0/SOLD-Jul/1975/28000.0/SOLD
96-wingrove-street-alphington-vic-3078,950000,21-Mar-2015,3,1,1,531,m2,House,https://www.domain.com.au/96-wingrove-street-alphington-vic-3078-2011795565,,0.6-2.5-4,3,Mar/2015/950000.0/SOLD-Nov/2001/440000.0/SOLD-Dec/1987/100000.0/SOLD
36-mercil-road-alphington-vic-3078,1300000,21-Mar-2015,3,2,2,640,m2,House,https://www.domain.com.au/36-mercil-road-alphington-vic-3078-2011798656,,0.7-2.2-3.8,3,Mar/2015/800.0/SOLD
9-perry-street-alphington-vic-3078,945000,14-Mar-2015,3,2,3,-1,None,House,https://www.domain.com.au/9-perry-street-alphington-vic-3078-2011772891,,0.6-2.9-3.7,3,Jun/2018/1218000.0/SOLD-Mar/2015/945000.0/SOLD
1/5-chandler-highway-alphington-vic-3078,720000,21-Jan-2015,3,2,2,-1,None,House,https://www.domain.com.au/1-5-chandler-highway-alphington-vic-3078-2011489851,,0.7-3.1-4,3,
552-heidelberg-road-alphington-vic-3078,720000,17-Dec-2014,3,1,2,-1,None,House,https://www.domain.com.au/552-heidelberg-road-alphington-vic-3078-2011601774,,0.5-2.9-3.7,3,Dec/2014/575.0/SOLD-May/2005/720000.0/SOLD
